Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,CompaniesRotation,PercYearsCurrManager,PercYearsLastPromotion,PercYearsCurrentRole,MonthlyIncome_cat_encode
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,7,Yes,3,1,0,8,1,1,6,0,1.0,0.8333333333333334,0.0,0.6666666666666666,2
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,1,No,4,4,1,10,3,3,10,1,10.0,0.7,0.1,0.7,2
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,6,Yes,3,2,0,7,3,3,1,0,1.1666666666666667,0.0,0.0,0.0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,1,Yes,3,3,0,8,3,3,8,3,8.0,0.0,0.375,0.875,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,7,No,3,4,1,6,3,3,2,2,0.6666666666666666,1.0,1.0,1.0,1
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,0,No,3,3,0,8,2,2,7,3,0.0,0.8571428571428571,0.42857142857142855,1.0,1
59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,4,Yes,4,1,2,12,3,2,1,0,3.0,0.0,0.0,0.0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,1,No,4,2,1,1,2,3,1,0,1.0,0.0,0.0,0.0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,0,No,4,2,0,10,2,3,9,1,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,3
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,6,No,3,2,2,17,3,2,7,7,2.8333333333333335,1.0,1.0,1.0,2
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,0,No,3,3,1,6,5,3,5,0,0.0,0.6,0.0,0.8,0
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,0,Yes,3,4,0,10,3,3,9,0,0.0,0.8888888888888888,0.0,0.5555555555555556,1
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,1,No,3,4,1,5,1,2,5,4,5.0,0.6,0.8,0.4,0
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,0,No,3,3,1,3,2,3,2,1,0.0,1.0,0.5,1.0,0
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,5,Yes,3,2,0,6,4,3,4,0,1.2,0.75,0.0,0.5,0
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,1,No,3,3,1,10,1,3,10,7,10.0,0.8,0.8,0.9,3
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,0,Yes,3,4,2,7,5,2,6,0,0.0,0.8333333333333334,0.0,0.3333333333333333,1
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,1,Yes,3,2,2,1,2,2,1,0,1.0,0.0,0.0,0.0,1
