Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CompaniesRotation,PercYearsCurrManager,PercYearsLastPromotion,PercYearsCurrentRole,MonthlyIncome_cat_encode,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Gender_Male,Department_Research & Development,Attrition_Yes,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
41,1,2,2,3,2,4,7,3,1,0,8,1,1,6,4,0,5,1.0,0.8333333333333334,0.0,0.6666666666666666,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
49,8,1,3,2,2,2,1,4,4,1,10,3,3,10,7,1,7,10.0,0.7,0.1,0.7,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
37,2,2,4,2,1,3,6,3,2,0,7,3,3,1,0,0,0,1.1666666666666667,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
33,3,4,4,3,1,3,1,3,3,0,8,3,3,8,7,3,0,8.0,0.0,0.375,0.875,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
27,2,1,1,3,1,2,7,3,4,1,6,3,3,2,2,2,2,0.6666666666666666,1.0,1.0,1.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
32,2,2,4,3,1,4,0,3,3,0,8,2,2,7,7,3,6,0.0,0.8571428571428571,0.42857142857142855,1.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
59,3,3,3,4,1,1,4,4,1,2,12,3,2,1,0,0,0,3.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
30,24,1,4,3,1,3,1,4,2,1,1,2,3,1,0,0,0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
38,23,3,4,2,3,3,0,4,2,0,10,2,3,9,7,1,8,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
36,27,3,3,3,2,3,6,3,2,2,17,3,2,7,7,7,7,2.8333333333333335,1.0,1.0,1.0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
35,16,3,1,4,1,2,0,3,3,1,6,5,3,5,4,0,3,0.0,0.6,0.0,0.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
29,15,2,4,2,2,3,0,3,4,0,10,3,3,9,5,0,8,0.0,0.8888888888888888,0.0,0.5555555555555556,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
31,26,1,1,3,1,3,1,3,4,1,5,1,2,5,2,4,3,5.0,0.6,0.8,0.4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
34,19,2,2,3,1,4,0,3,3,1,3,2,3,2,2,1,2,0.0,1.0,0.5,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
28,24,3,3,2,1,3,5,3,2,0,6,4,3,4,2,0,3,1.2,0.75,0.0,0.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
29,21,4,2,4,3,1,1,3,3,1,10,1,3,10,9,7,8,10.0,0.8,0.8,0.9,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,5,2,1,4,1,2,0,3,4,2,7,5,2,6,2,0,5,0.0,0.8333333333333334,0.0,0.3333333333333333,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
22,16,2,4,4,1,4,1,3,2,2,1,2,2,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
53,2,4,1,2,4,4,2,3,3,0,23,3,3,15,8,3,7,10.0,0.28,0.12,0.32,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,2,3,4,3,1,4,5,3,3,0,6,3,3,3,2,1,2,1.2,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
24,11,2,1,4,2,3,0,3,4,1,5,5,2,4,2,1,3,0.0,0.75,0.25,0.5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,9,4,3,2,1,1,7,4,2,0,10,4,3,5,3,0,3,1.4285714285714286,0.6,0.0,0.6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
34,7,4,1,3,3,2,0,3,3,0,13,4,3,12,6,2,9,0.0,0.9166666666666666,0.16666666666666666,0.5,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
21,15,2,3,3,1,4,1,3,4,0,1,5,3,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
34,6,1,2,3,1,1,2,3,3,0,8,2,3,4,2,1,3,4.0,0.75,0.25,0.5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
53,5,3,3,3,5,3,4,3,4,1,23,3,2,14,9,4,8,6.5,0.5714285714285714,0.2857142857142857,0.9285714285714286,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32,16,1,2,1,1,1,1,4,2,0,10,5,3,10,2,6,7,10.0,0.7,0.6,0.2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
